event_count,event_rate_per_wear_hour,total_duration_min,duration_rate_per_wear_hour,duration_mean,duration_median,max_event_duration_sec,duration_std,night_ratio,interval_mean,interval_std,sleep_disruption_count,wear_completeness_ratio,history_days_available,breed_or_size_class,rolling_mean_3d,rolling_mean_7d,rolling_mean_14d,rolling_mean_30d,rolling_std_3d,rolling_std_7d,rolling_std_14d,rolling_std_30d,pet_id,date,c_tier,questionnaire_behavior,owner_reported_scratch_count_bucket,owner_reported_scratch_duration_bucket,skin_redness_level,skin_pigment_abnormal,skin_lesion_severity,odor_level,hair_loss_spot_count_level,hair_loss_max_diameter_level,coat_quality_level,s_tier
15.0,0.9030704394942806,0.8100618974579816,0.04876953025033002,3.2402475898319265,2.923757150336001,5.19509757872035,1.1171835944152189,0.5333333333333333,6134.214285714285,6246.59138111763,7.0,0.6920833333333333,1,比熊,,,,,,,,,chronic_high_moderate_off_body_bichon_12,2026-01-01,C1,answered_consistent,2,0,2,1,2,2,0,1,1,S2
10.0,0.5408328826392645,0.7831289475603843,0.04235418861873361,4.6987736853623066,4.715202963319911,6.399109314899525,1.2999428295642463,0.5,8885.0,7530.275943003535,5.0,0.7704166666666666,2,比熊,0.7219516610667726,,,,0.2561406328526294,,,,chronic_high_moderate_off_body_bichon_12,2026-01-02,C1,answered_consistent,1,0,2,0,2,2,1,0,2,S2
6.0,0.28790786948176583,0.423071027595945,0.020300913032434982,4.23071027595945,4.492016871410192,6.359385472387426,1.7816714536796385,0.3333333333333333,12367.2,8219.087769333042,2.0,0.8683333333333333,7,比熊,0.17321919326487598,0.3240405873827594,0.3240405873827594,,0.15261750029669213,0.316879423396715,0.316879423396715,,chronic_high_moderate_off_body_bichon_12,2026-01-07,C1,answered_consistent,1,0,0,0,0,0,0,1,0,S0
8.0,0.4195070791819612,0.4407391982256766,0.023111651716081625,3.3055439866925744,3.1332197117416345,6.394153061829792,1.4309554247846898,0.375,10577.714285714286,8512.35590546028,3.0,0.7945833333333333,9,比熊,0.27040107352966647,0.19252516295042918,0.3101754958651722,,0.15858580403768135,0.16163319089327607,0.2868732691645213,,chronic_high_moderate_off_body_bichon_12,2026-01-09,C1,answered_consistent,1,1,0,0,0,0,0,0,0,S0
11.0,0.5804749340369393,0.7159051819594422,0.03777863757041911,3.904937356142412,2.955582440788751,6.370733107753573,1.7386253255684945,0.36363636363636365,7314.2,5667.797152333524,4.0,0.7895833333333333,10,比熊,0.36792342838139097,0.23191826641982868,0.33720543968234884,,0.2424937076116141,0.21748779175070115,0.28365193618970075,,chronic_high_moderate_off_body_bichon_12,2026-01-10,C1,answered_consistent,1,0,0,0,1,0,0,0,1,S1
8.0,0.4643064422518862,0.40886334217643844,0.023729735471644715,3.0664750663232883,2.2936478081094225,6.369047273759283,1.6535508000933754,0.375,8836.857142857143,6410.843568931168,3.0,0.7179166666666666,15,比熊,0.15476881408396204,0.25126950387713354,0.23056346223216018,0.27539726071630155,0.26806744942060395,0.2345156456543958,0.20763026461511944,0.26491896879212545,chronic_high_moderate_off_body_bichon_12,2026-01-15,C1,answered_consistent,1,1,2,0,2,2,0,1,2,S2
7.0,0.3816793893129771,0.6103026002488818,0.03327713196558789,5.231165144990415,4.924351436985968,6.528816198788866,0.7883934545210814,0.2857142857142857,11885.0,6597.906107243419,2.0,0.7641666666666667,18,比熊,0.19983644715195562,0.17247949336631607,0.21298869430826445,0.26280379178891056,0.16470213141048065,0.18348368129500298,0.18775388446027358,0.2486523696567913,chronic_high_moderate_off_body_bichon_12,2026-01-18,C1,answered_consistent,1,0,1,0,2,2,1,1,2,S2
7.0,0.32228360957642727,0.4636308094325661,0.021345801539252585,3.9739783665648525,3.736994881045932,6.2287035236344,1.1606001403436834,0.5714285714285714,12081.5,17932.505251172613,4.0,0.9049999999999999,19,比熊,0.28703777979393624,0.1980141990405972,0.2360089521351521,0.2659343085145693,0.11634012561820645,0.19106597341391884,0.1791930453457064,0.2420316395834956,chronic_high_moderate_off_body_bichon_12,2026-01-19,C1,answered_consistent,1,0,0,1,2,0,0,1,2,S1
8.0,0.4759071980963712,0.6735664842777029,0.04006939228302814,5.051748632082772,5.723641046333702,6.744044905042076,1.859508978840852,0.5,11675.142857142857,13747.380108105497,4.0,0.7004166666666666,21,比熊,0.31052780887151676,0.2850570300460434,0.24241196908111604,0.26962150851499717,0.17155963502825103,0.16782097488537043,0.19259914094984193,0.23619886447483132,chronic_high_moderate_off_body_bichon_12,2026-01-21,C1,answered_consistent,1,1,1,1,1,1,0,0,1,S1
6.0,0.27397260273972607,0.3667998083480066,0.016748849696256007,3.667998083480066,3.371281000032541,6.234340208874417,2.0688127437346258,0.3333333333333333,11237.4,7696.329790231186,2.0,0.9125,25,比熊,0.14965024349125308,0.19721916529832997,0.184849329332323,0.24444009637154798,0.13873129803024511,0.17395330556415936,0.1722471977432315,0.22861114190731047,chronic_high_moderate_off_body_bichon_12,2026-01-25,C1,answered_consistent,0,0,2,1,2,2,1,2,2,S2
11.0,0.6440281030444965,0.7607864361818375,0.04454253139237925,4.149744197355478,4.765087608791298,6.16890487581916,1.390943642202082,0.6363636363636364,6963.6,6978.993153743598,6.0,0.7116666666666666,29,比熊,0.3031210137530489,0.23540473850465124,0.22706613840021259,0.2520649947706034,0.3078521225002226,0.21086527419115694,0.18709760114865162,0.22792038240005924,chronic_high_moderate_off_body_bichon_12,2026-01-29,C1,answered_consistent,1,1,1,0,1,2,0,0,1,S1
8.0,0.3664681630783326,0.6310602019676547,0.028907934125865998,4.73295151475741,5.375353205912365,6.512799508556873,1.8951211636271816,0.5,9579.0,10746.612130607222,4.0,0.9095833333333333,30,比熊,0.41013243688426354,0.28775733323012737,0.24890817778791594,0.2558784337141944,0.21540860485667102,0.18679831114840545,0.18400273058978578,0.22492814449526877,chronic_high_moderate_off_body_bichon_12,2026-01-30,C1,answered_consistent,1,0,1,0,1,1,0,0,1,S1
9.0,0.43478260869565216,0.9487905924587456,0.04583529432167854,6.325270616391638,5.667754649147714,10.594156069670513,2.3044666772173907,0.6666666666666666,8786.25,12805.547018284693,6.0,0.8624999999999999,1,金毛,,,,,,,,,chronic_high_severe_goldendoodle_start_01,2026-01-01,C1,answered_consistent,1,1,0,0,0,0,0,0,0,S0
